Camera,Condition,Listing Stuff included,Ebay Battery ,Ebay Charger,Ebay Price,AliE Battery,AliE Charger,Vinted Listing,Profit,,,
Cybershot DSC-P100,Good,"b,m,case",-,-,15,,,36,21,,,
Cybershot DSC-W1,broken battery cover,,,,12.88,,,27.9,15.02,,,
DSC P8,,,,,9.5,,,,-9.5,,,
DSC S600,,,,,11.9,,,,-11.9,,,
Cybershot DSC-W170,Working fine,,,,10.45,,,80,69.55,,,
Cybershot,,,,,,,,49.5,49.5,,,
Samsung PL211,,,,,9.22,,,,-9.22,,,
DSC W17,,,,,5,,,50,45,,,
Samsung NV3,Missing cable and battery,"b, cable",,,10.25,,,40,29.75,,,
Samsung L600,,,,,9.99,,,,-9.99,,,
Samsung NV3,,,,,4.69,,,,-4.69,,,
Kodak M23 Red,,,,,12.93,,,,-12.93,,,
DSC W15 black,,,,,9.99,,,,-9.99,,,
DSC w80,,,,,10.99,,,,-10.99,,,
DSC W1 Silver,,,,,12.95,,,53,40.05,,,
DSC W1 Black,,,,,12,,,,-12,,,
DSC W12,,,,,,,,50,50,,,
DSC T1,Sensor damaged,"battery, charger, sensor",,,11.495,,,45,33.505,,,
DSC T1,Sensor damaged,"battery, charger, sensor",,,11.495,,,45,33.505,,,
DSC W5,,REFUNDED - LOST PARCEL,,,14.99,,,50,35.01,,,
DSC W170,,"b,c,",,,23.65,,,80,56.35,,,
DSC P10,,"b,c,",,,,,,35,35,,,
DSC W7,,,,,9.96,,,48,38.04,,Total,1311.4
DSC W5 Silver,,,,,12,,,,-12,,Profit,823.39
DSC S600,,,,,9.94,,,,-9.94,,,
DSC W80 pink,,"b( not sure),c",,,,,,105,105,,,
DSC W5 Silver,,,,,12.18 (check with above),,,52,52,,,
DSC 610 blue,,c,,,,,,100,100,,,
DSC T10,,REFUNDED NOT WORKING (BANK),,,,,,0,0,,,
DSC W170,,"b(not sure),c",,,18.38,,,85,66.62,,,
DSC S600,,,,,10.99,,,,-10.99,,,
DSC W1,,,,,14.49,,,,-14.49,,,
DSC P9  (Xyl),,"b,c",,,,,,30,30,,,
DSC T300 touch,,"b(taken from stock refunded T10),c",,,,,,100,100,,,
DSC W1,joblot with 4 cameras,,,,23.98,,,55,31.02,,,
DSC 170,,,,,19.48,,,95,75.52,,,
DSC T300 touch black,battery included,OIS issue,,,20.26,,,,-20.26,,,
DSC WX50,Dead Flash,,,,16.94,,,,-16.94,,,
Canon G7,c included,b,9.95,,24.35,,,,-34.3,,,
DSC p7,2 batteries included,,,,,,,,0,,,
DSC T100 Red,,,,,28.99,,,,-28.99,,,
DSC W370,,,,,14.93,,,,-14.93,,,
DSC W150,,,,,34,,,,-34,,,
DSC,,,,,,,,,,,,
DSC,,,,,,,,,,,,
DSC,,,,,,,,,,,,
DSC,,,,,,,,,,,,
DSC,,,,,,,,,,,,
DSC,,,,,,,,,,,,
DSC,,,,,,,,,,,,
DSC,,,,,,,,,,,,
DSC,,,,,,,,,,,,
